date,nav_net,nav_gross
2021-03-18,214288.9999959317,239583.2430537669
2021-03-19,214477.38546534668,239771.6285231819
2021-03-22,212410.4384740886,237704.6815319238
2021-03-23,212504.55448129066,237798.79753912587
2021-03-24,211198.39462963465,236492.63768746986
2021-03-25,210613.12578633538,235907.3688441706
2021-03-26,213229.10247774218,238523.3455355774
2021-03-29,215015.86320965516,240310.10626749037
2021-03-30,215434.8864877121,240729.1295455473
2021-03-31,215396.67166392293,240690.91472175813
2021-04-01,215762.99644119872,241057.23949903392
2021-04-05,216138.64100283585,241432.88406067106
2021-04-06,215598.27763057637,240892.52068841158
2021-04-07,214206.35822312583,239500.60128096104
2021-04-08,215664.36176935025,240958.60482718545
2021-04-09,215717.93906931116,241012.18212714637
2021-04-12,216736.5942756183,242030.8373334535
2021-04-13,218989.1819415703,244283.4249994055
2021-04-14,218716.23623421064,244010.47929204584
2021-04-15,219236.5678735075,244530.8109313427
2021-04-16,218394.53396968308,243688.77702751828
2021-04-19,214944.91698407417,240239.16004190937
2021-04-20,215475.0144845359,240769.2575423711
2021-04-21,214158.73595440504,239452.97901224025
2021-04-22,212738.89809208474,238033.14114991995
2021-04-23,212280.97705035293,237575.22010818814
2021-04-26,214816.85934509974,240111.10240293495
2021-04-27,215657.76912634014,240952.01218417534
2021-04-28,215334.71729426945,240628.96035210465
2021-04-29,214376.65934751875,239670.90240535396
2021-04-30,217396.8743353185,242691.11739315372
2021-05-03,217247.63893418363,242541.88199201884
2021-05-04,214136.1679718179,239430.4110296531
2021-05-05,217204.16460458105,242498.40766241626
2021-05-06,216765.5543176419,242059.7973754771
2021-05-07,217658.83700713233,242953.08006496754
2021-05-10,216569.24782921138,241863.4908870466
2021-05-11,216789.48401406515,242083.72707190036
2021-05-12,210226.4044344184,235520.6474922536
2021-05-13,211218.05986859265,236512.30292642786
2021-05-14,211687.42340904233,236981.66646687753
2021-05-17,206018.11344518536,231312.35650302056
2021-05-18,205279.22758553814,230573.47064337335
2021-05-19,199981.42626039917,225275.66931823437
2021-05-20,203772.82837336764,229067.07143120284
2021-05-21,203610.1001083318,228904.343166167
2021-05-24,204126.88555695795,229421.12861479315
2021-05-25,204631.08828397625,229925.33134181146
2021-05-26,204381.39862991832,229675.64168775352
2021-05-27,204365.68062123298,229659.9236790682
2021-05-28,205043.64203726195,230337.88509509715
2021-06-01,204163.5386980482,229457.78175588342
2021-06-02,204999.5391569236,230293.7822147588
2021-06-03,202953.08559717247,228247.32865500767
2021-06-04,204809.50610237324,230103.74916020845
2021-06-07,205145.69358418047,230439.93664201567
2021-06-08,204704.06836630098,229998.3114241362
2021-06-09,204720.49428292696,230014.73734076216
2021-06-10,205718.71162593042,231012.95468376562
2021-06-11,204446.76635190626,229741.00940974147
2021-06-14,204025.84557927243,229320.08863710763
2021-06-15,203267.87907036132,228562.12212819653
2021-06-16,200767.96416877868,226062.2072266139
2021-06-17,198009.24899472503,223303.49205256024
2021-06-18,196300.09823887798,221594.3412967132
2021-06-21,198751.74822689945,224045.99128473466
2021-06-22,198660.55868927305,223954.80174710826
2021-06-23,198076.78439515198,223371.02745298718
2021-06-24,198681.05025515665,223975.29331299185
2021-06-25,199258.25342532952,224552.49648316472
2021-06-28,199447.26905309362,224741.51211092883
2021-06-29,199406.76717579833,224701.01023363354
2021-06-30,199325.76342120775,224620.00647904296
2021-07-01,199933.31218179537,225227.55523963057
2021-07-02,200554.36500167445,225848.60805950966
2021-07-06,200540.87124296214,225835.11430079734
2021-07-07,201148.42000354975,226442.66306138496
2021-07-08,200486.86530637537,225781.10836421058
2021-07-09,201188.92188084504,226483.16493868025
2021-07-12,201215.92999942802,226510.17305726322
2021-07-13,200999.90625308093,226294.14931091614
2021-07-14,201364.44374989683,226658.68680773204
2021-07-15,201458.9515637789,226753.1946216141
2021-07-16,201580.45719566473,226874.70025349993
2021-07-19,200635.3790568442,225929.6221146794
2021-07-20,201458.95156377886,226753.19462161406
2021-07-21,201512.95750036562,226807.20055820083
2021-07-22,201836.98281930707,227131.22587714228
2021-07-23,202662.68465888756,227956.92771672277
2021-07-26,202408.56445207863,227702.80750991384
2021-07-27,202997.7198160765,228291.96287391172
2021-07-28,202845.61571879697,228139.85877663217
2021-07-29,202773.9303200897,228068.17337792492
2021-07-30,202974.0542473063,228268.29730514152
2021-08-02,203245.73907555046,228539.98213338567
2021-08-03,203896.6391298313,229190.88218766652
2021-08-04,203471.8225874374,228766.0656452726
2021-08-05,203447.13394876092,228741.37700659613
2021-08-06,202799.44979092447,228093.69284875967
2021-08-09,202690.40309380923,227984.64615164444
2021-08-10,202407.79692528685,227702.03998312206
2021-08-11,202666.09406545584,227960.33712329104
2021-08-12,202788.7594406038,228083.00249843902
2021-08-13,203791.57378820825,229085.81684604345
2021-08-16,204547.5276100318,229841.770667867
2021-08-17,204602.19560965683,229896.43866749204
2021-08-18,203366.96103022128,228661.2040880565
2021-08-19,204043.10887271064,229337.35193054585
2021-08-20,204706.3690594348,230000.61211727
2021-08-23,204945.00124637218,230239.2443042074
2021-08-24,204336.8202958062,229631.0633536414
2021-08-25,203927.17111644908,229221.4141742843
2021-08-26,203435.1302784798,228729.373336315
2021-08-27,206147.93676737644,231442.17982521164
2021-08-30,204214.01933129755,229508.26238913275
2021-08-31,204172.1961102935,229466.4391681287
2021-09-01,206279.32172068785,231573.56477852305
2021-09-02,207122.9608030232,232417.2038608584
2021-09-03,207700.4682030191,232994.7112608543
2021-09-07,203302.44561147757,228596.68866931277
2021-09-08,202918.0125676392,228212.2556254744
2021-09-09,203039.28614213355,228333.52919996876
2021-09-10,200679.96894987838,225974.2120077136
2021-09-13,200693.40714258637,225987.65020042157
2021-09-14,203262.84267574662,228557.08573358183
2021-09-15,204752.97624715415,230047.21930498935
2021-09-16,203958.77468878726,229253.01774662247
2021-09-17,202716.98390944037,228011.22696727558
2021-09-20,197337.53760817272,222631.78066600792
2021-09-21,194775.22260117196,220069.46565900717
2021-09-22,198439.93555836685,223734.17861620206
2021-09-23,199847.84288146993,225142.08593930514
2021-09-24,196602.1438750744,221896.3869329096
2021-09-27,195094.1752479036,220388.4183057388
2021-09-28,192423.34722823888,217717.5902860741
2021-09-29,193529.60547375208,218823.84853158728
2021-09-30,195993.59407284585,221287.83713068106
2021-10-01,201474.6889163034,226768.9319741386
2021-10-04,202085.6795008294,227379.9225586646
2021-10-05,205026.22955842325,230320.47261625846
